determined_at,type,special_key,target.target_id,target.target_type,masked_key,gid,shift_key,meta_key,time_diff
47755,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,494.0,06136989,,,
48198,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,7691.0,06136989,,,443.0
48558,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,69.0,06136989,,,360.0
49098,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,69.0,06136989,,,540.0
49409,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,7691.0,06136989,,,311.0
49704,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,69.0,06136989,,,295.0
50064,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,494.0,06136989,,,360.0
50359,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,100.0,06136989,,,295.0
50834,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,65.0,06136989,,,475.0
52423,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,69.0,06136989,,,1589.0
53914,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,109.0,06136989,,,1491.0
54356,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,69.0,06136989,,,442.0
54684,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,85.0,06136989,,,328.0
55176,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,7691.0,06136989,,,492.0
56126,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,72.0,06136989,,,950.0
56503,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,7795.0,06136989,,,377.0
56847,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,7691.0,06136989,,,344.0
57338,KEY_DOWN,,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,109.0,06136989,,,491.0
57767,KEY_DOWN,Tab,3b9799c1-4d48-4f44-bff4-38447ffc606a,text,,06136989,,,429.0
59879,KEY_DOWN,,450ee811-71d4-4b18-9056-0b19f43cd864,text,7769.0,06136989,,,2112.0
60289,KEY_DOWN,,450ee811-71d4-4b18-9056-0b19f43cd864,text,240.0,06136989,,,410.0
60363,KEY_DOWN,,450ee811-71d4-4b18-9056-0b19f43cd864,text,70.0,06136989,,,74.0
60701,KEY_DOWN,Tab,450ee811-71d4-4b18-9056-0b19f43cd864,text,,06136989,,,338.0
62271,KEY_DOWN,,8085d1aa-7ad3-4915-b615-30e2288bead4,text,74.0,06136989,,,1570.0
62485,KEY_DOWN,,8085d1aa-7ad3-4915-b615-30e2288bead4,text,82.0,06136989,,,214.0
62616,KEY_DOWN,,8085d1aa-7ad3-4915-b615-30e2288bead4,text,7843.0,06136989,,,131.0
74186,KEY_DOWN,Meta,1bd3d725-a372-4527-918a-9671226867ca,body,,06455365,,True,
163420,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,103.0,06455365,,,89234.0
163983,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,449.0,06455365,,,563.0
165693,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1082.0,06455365,,,1710.0
166615,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,7885.0,06455365,,,922.0
166910,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,103.0,06455365,,,295.0
167403,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1140.0,06455365,,,493.0
169112,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1140.0,06455365,,,1709.0
169634,KEY_DOWN,Backspace,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,,06455365,,,522.0
169900,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,103.0,06455365,,,266.0
171994,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1140.0,06455365,,,2094.0
172443,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,103.0,06455365,,,449.0
173455,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1082.0,06455365,,,1012.0
173793,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1140.0,06455365,,,338.0
174737,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,449.0,06455365,,,944.0
175188,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,598.0,06455365,,,451.0
176447,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,119.0,06455365,,,1259.0
179127,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,103.0,06455365,,,2680.0
179350,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,1140.0,06455365,,,223.0
179823,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,449.0,06455365,,,473.0
179991,KEY_DOWN,,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,449.0,06455365,,,168.0
180362,KEY_DOWN,Tab,ed5734e1-6b22-4a13-ad4d-761b32c30306,text,,06455365,,,371.0
182232,KEY_DOWN,,adb64cf0-6cc5-45ac-8701-5263410dc008,text,119.0,06455365,,,1870.0
182522,KEY_DOWN,,adb64cf0-6cc5-45ac-8701-5263410dc008,text,1067.0,06455365,,,290.0
183084,KEY_DOWN,,adb64cf0-6cc5-45ac-8701-5263410dc008,text,114.0,06455365,,,562.0
183357,KEY_DOWN,,adb64cf0-6cc5-45ac-8701-5263410dc008,text,530.0,06455365,,,273.0
183580,KEY_DOWN,Tab,adb64cf0-6cc5-45ac-8701-5263410dc008,text,,06455365,,,223.0
184572,KEY_DOWN,,78016951-eea1-41d6-ac9f-533c66113add,text,120.0,06455365,,,992.0
184709,KEY_DOWN,,78016951-eea1-41d6-ac9f-533c66113add,text,1045.0,06455365,,,137.0
185020,KEY_DOWN,,78016951-eea1-41d6-ac9f-533c66113add,text,7735.0,06455365,,,311.0
77467,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7813.0,07361069,,,
77636,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7748.0,07361069,,,169.0
79968,KEY_DOWN,,9206138a-6f92-40fb-8541-37cb35c9b07b,text,7810.0,07361069,,,2332.0
