determined_at,type,special_key,target.target_id,target.target_type,shift_key,masked_key,gid,meta_key,time_diff
36493,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,219.0,06136989,,
36753,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,216.0,06136989,,260.0
36860,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,119.0,06136989,,107.0
37032,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,83.0,06136989,,172.0
37444,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,1020.0,06136989,,412.0
37605,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,119.0,06136989,,161.0
37758,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,120.0,06136989,,153.0
38085,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,86.0,06136989,,327.0
38459,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,1060.0,06136989,,374.0
38588,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,214.0,06136989,,129.0
38741,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,120.0,06136989,,153.0
38856,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,7900.0,06136989,,115.0
38951,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,1020.0,06136989,,95.0
39085,KEY_DOWN,Shift,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,True,,06136989,,134.0
39134,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,True,1123.0,06136989,,49.0
39390,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,119.0,06136989,,256.0
39559,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,71.0,06136989,,169.0
39614,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,78.0,06136989,,55.0
39683,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,69.0,06136989,,69.0
39849,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,83.0,06136989,,166.0
39893,KEY_DOWN,,8203eb48-5135-4aa3-bc4b-c3ee94da663f,email,,1060.0,06136989,,44.0
