determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key,time_diff
4332,KEY_DOWN,Meta,True,bb700ce2-45f8-466b-963b-922d038400fd,,06136989,body,,,
4420,KEY_DOWN,,True,bb700ce2-45f8-466b-963b-922d038400fd,468.0,06136989,body,,,88.0
7313,KEY_DOWN,Shift,,165da841-1406-47b3-a22e-74ec2a59ef70,,06136989,text,True,,2893.0
7450,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,76.0,06136989,text,True,,137.0
8226,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,82.0,06136989,text,,,776.0
8316,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,87.0,06136989,text,,,90.0
8415,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,297.0,06136989,text,,,99.0
8663,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,1060.0,06136989,text,,,248.0
8775,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,87.0,06136989,text,,,112.0
8896,KEY_DOWN,,,165da841-1406-47b3-a22e-74ec2a59ef70,1015.0,06136989,text,,,121.0
9038,KEY_DOWN,Tab,,165da841-1406-47b3-a22e-74ec2a59ef70,,06136989,text,,,142.0
9240,KEY_DOWN,Shift,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,,06136989,text,True,,202.0
9376,KEY_DOWN,,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,7793.0,06136989,text,True,,136.0
9546,KEY_DOWN,,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,7833.0,06136989,text,,,170.0
9764,KEY_DOWN,,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,79.0,06136989,text,,,218.0
9879,KEY_DOWN,,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,1142.0,06136989,text,,,115.0
10008,KEY_DOWN,,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,520.0,06136989,text,,,129.0
10169,KEY_DOWN,Tab,,4067d7d8-7fb9-4fc9-897e-2191f7afb80a,,06136989,text,,,161.0
11345,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,80.0,06136989,text,,,1176.0
11460,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,78.0,06136989,text,,,115.0
11657,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,71.0,06136989,text,,,197.0
12525,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,515.0,06136989,text,,,868.0
12734,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,209.0
12845,KEY_DOWN,Shift,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,True,,111.0
12966,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,99.0,06136989,text,True,,121.0
13201,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,470.0,06136989,text,,,235.0
13307,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1037.0,06136989,text,,,106.0
13534,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,633.0,06136989,text,,,227.0
13660,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1037.0,06136989,text,,,126.0
13779,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,72.0,06136989,text,,,119.0
13909,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1021.0,06136989,text,,,130.0
14062,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,153.0
14139,KEY_DOWN,Shift,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,True,,77.0
14181,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,203.0,06136989,text,True,,42.0
14397,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,73.0,06136989,text,,,216.0
14488,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1037.0,06136989,text,,,91.0
14643,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1037.0,06136989,text,,,155.0
14719,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,65.0,06136989,text,,,76.0
14864,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,145.0
14959,KEY_DOWN,Shift,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,True,,95.0
15033,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,361.0,06136989,text,True,,74.0
15167,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,83.0,06136989,text,,,134.0
15822,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,106.0,06136989,text,,,655.0
16423,KEY_DOWN,Backspace,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,,,601.0
16521,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,633.0,06136989,text,,,98.0
16740,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,106.0,06136989,text,,,219.0
17054,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,7718.0,06136989,text,,,314.0
17188,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,134.0
17284,KEY_DOWN,Shift,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,True,,96.0
17554,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,360.0,06136989,text,True,,270.0
17713,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1118.0,06136989,text,,,159.0
17849,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,438.0,06136989,text,,,136.0
18090,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,470.0,06136989,text,,,241.0
18335,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,85.0,06136989,text,,,245.0
18483,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,73.0,06136989,text,,,148.0
18767,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,633.0,06136989,text,,,284.0
18876,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1118.0,06136989,text,,,109.0
19158,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,83.0,06136989,text,,,282.0
19322,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,83.0,06136989,text,,,164.0
19434,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1037.0,06136989,text,,,112.0
19652,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,7718.0,06136989,text,,,218.0
19770,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,118.0
19850,KEY_DOWN,Shift,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,True,,80.0
20016,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,7754.0,06136989,text,True,,166.0
20597,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,470.0,06136989,text,,,581.0
20658,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1052.0,06136989,text,,,61.0
20863,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,7753.0,06136989,text,,,205.0
21066,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,203.0
21710,KEY_DOWN,Backspace,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,,,644.0
21899,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,7718.0,06136989,text,,,189.0
22016,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1100.0,06136989,text,,,117.0
22890,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,76.0,06136989,text,,,874.0
23267,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,389.0,06136989,text,,,377.0
23563,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,76.0,06136989,text,,,296.0
23727,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,76.0,06136989,text,,,164.0
23842,KEY_DOWN,,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,1039.0,06136989,text,,,115.0
24041,KEY_DOWN,Tab,,35e5cf49-0fa3-4e1a-9916-65c9e30a42fa,,06136989,text,,,199.0
25765,KEY_DOWN,,,09afea9d-084d-4a0b-8c26-4388a642d4fa,113.0,06136989,email,,,1724.0
25959,KEY_DOWN,,,09afea9d-084d-4a0b-8c26-4388a642d4fa,87.0,06136989,email,,,194.0
