determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
6411,KEY_DOWN,Meta,True,fbb0cff7-9c07-4043-bebd-eb922021bf0c,,33643170,,,
6522,KEY_DOWN,,True,fbb0cff7-9c07-4043-bebd-eb922021bf0c,109.0,33643170,,,
61419,KEY_UP,Enter,,65cd98e7-9814-45c2-a30d-c667da9c35e4,,55234539,body,,
65701,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,1126.0,55234539,text,,
65788,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,1049.0,55234539,text,,
65796,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,1126.0,55234539,text,,
65905,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,1049.0,55234539,text,,
68337,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,1089.0,55234539,text,,
68407,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,1089.0,55234539,text,,
68561,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,7889.0,55234539,text,,
68631,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,7889.0,55234539,text,,
75328,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,1089.0,55234539,text,,
75394,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,1089.0,55234539,text,,
75586,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
75657,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
78365,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,101.0,55234539,text,,
78435,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,101.0,55234539,text,,
78501,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,1049.0,55234539,text,,
78636,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,1049.0,55234539,text,,
78715,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,97.0,55234539,text,,
78848,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,97.0,55234539,text,,
80328,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
80419,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
80488,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
80601,KEY_UP,,,92db13db-5d14-4d68-88d6-035da8d2520f,118.0,55234539,text,,
81044,KEY_DOWN,,,92db13db-5d14-4d68-88d6-035da8d2520f,70.0,55234539,text,,
