determined_at,type,special_key,target.target_id,target.target_type,shift_key,masked_key,gid,meta_key
43994,KEY_UP,Enter,65cd98e7-9814-45c2-a30d-c667da9c35e4,body,,,55234539,
47680,KEY_DOWN,Shift,e419caa7-3217-4e14-aa99-551e8dc381ae,email,True,,55234539,
47806,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,True,7891.0,55234539,
47898,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,True,7891.0,55234539,
47911,KEY_UP,Shift,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
48035,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1075.0,55234539,
48147,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1075.0,55234539,
48747,KEY_DOWN,Backspace,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
48837,KEY_UP,Backspace,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
48886,KEY_DOWN,Backspace,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
48998,KEY_UP,Backspace,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
49128,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,351.0,55234539,
49220,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,351.0,55234539,
49334,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1075.0,55234539,
49401,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1075.0,55234539,
49448,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
49539,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
49646,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,117.0,55234539,
49693,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
49785,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,117.0,55234539,
49831,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
50130,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,87.0,55234539,
50200,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,87.0,55234539,
50569,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,378.0,55234539,
50660,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,378.0,55234539,
50727,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
50817,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7867.0,55234539,
50930,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
50956,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7867.0,55234539,
51073,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
51186,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
51204,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
51318,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
51571,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
51599,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7799.0,55234539,
52530,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,117.0,55234539,
52622,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
52669,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,117.0,55234539,
52695,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
52872,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7725.0,55234539,
52964,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7725.0,55234539,
53027,KEY_DOWN,Shift,e419caa7-3217-4e14-aa99-551e8dc381ae,email,True,,55234539,
53190,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,True,247.0,55234539,
53297,KEY_UP,Shift,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
53329,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,109.0,55234539,
53705,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
53797,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
53932,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,85.0,55234539,
54019,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
54069,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,85.0,55234539,
54181,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1103.0,55234539,
54196,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1127.0,55234539,
54328,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1127.0,55234539,
55164,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7829.0,55234539,
55277,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,351.0,55234539,
55347,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,7829.0,55234539,
55394,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,351.0,55234539,
55454,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
55568,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,67.0,55234539,
55627,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,87.0,55234539,
55738,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,87.0,55234539,
55755,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,436.0,55234539,
55827,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,436.0,55234539,
55902,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,70.0,55234539,
55991,KEY_DOWN,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1127.0,55234539,
56041,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,70.0,55234539,
56086,KEY_UP,,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,1127.0,55234539,
56189,KEY_DOWN,Tab,e419caa7-3217-4e14-aa99-551e8dc381ae,email,,,55234539,
56303,KEY_UP,Tab,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,,55234539,
59379,KEY_DOWN,Shift,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,True,,55234539,
59495,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,True,78.0,55234539,
59627,KEY_UP,Shift,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,,55234539,
59633,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,71.0,55234539,
59797,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,88.0,55234539,
59889,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,88.0,55234539,
60972,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,True,1038.0,55234539,
61086,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,True,1038.0,55234539,
61153,KEY_UP,Shift,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,,55234539,
61328,KEY_DOWN,Enter,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,,55234539,
60026,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,609.0,55234539,
60094,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,609.0,55234539,
60163,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,609.0,55234539,
60248,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,1088.0,55234539,
60260,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,609.0,55234539,
60302,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,7907.0,55234539,
60369,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,1088.0,55234539,
60419,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,7907.0,55234539,
60551,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,7694.0,55234539,
60643,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,633.0,55234539,
60693,KEY_DOWN,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,442.0,55234539,
60737,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,7694.0,55234539,
60744,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,633.0,55234539,
60812,KEY_UP,,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,,442.0,55234539,
60854,KEY_DOWN,Shift,1e29e571-c730-48be-b5b7-6d51fbc4ebbf,password,True,,55234539,
26989,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
27080,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
27432,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1023.0,31320854,
27522,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1023.0,31320854,
27792,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
27866,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
29333,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1073.0,31320854,
29407,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1073.0,31320854,
30464,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
30538,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
30972,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
31063,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,76.0,31320854,
32186,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,75.0,31320854,
32276,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,75.0,31320854,
32743,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
32833,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
34791,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
34882,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1011.0,31320854,
36856,KEY_DOWN,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1051.0,31320854,
36946,KEY_UP,,ae7e362b-ba0a-43bd-a7ad-5bcb16d7c9d7,email,,1051.0,31320854,
